	template	ISCO	ident_term	number	gender	gen_spec	templ_ID
1193	They are a manufacturing supervisor and they aspire to	3122	the manufacturing supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1194	He is a manufacturing supervisor and he is	3122	the manufacturing supervisor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1195	She is a manufacturing supervisor and she is	3122	the manufacturing supervisor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1196	They are a manufacturing supervisor and they are	3122	the manufacturing supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1197	He works as a manufacturing supervisor. He is considered	3122	the manufacturing supervisor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1198	She works as a manufacturing supervisor. She is considered	3122	the manufacturing supervisor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1199	They work as a manufacturing supervisor. They are considered	3122	the manufacturing supervisor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1200	He is a construction supervisor and he aspires to	3123	the construction supervisor	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1201	She is a construction supervisor and she aspires to	3123	the construction supervisor	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1202	They are a construction supervisor and they aspire to	3123	the construction supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1203	He is a construction supervisor and he is	3123	the construction supervisor	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1204	She is a construction supervisor and she is	3123	the construction supervisor	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1205	They are a construction supervisor and they are	3123	the construction supervisor	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1206	He works as a construction supervisor. He is considered	3123	the construction supervisor	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1207	She works as a construction supervisor. She is considered	3123	the construction supervisor	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1208	They work as a construction supervisor. They are considered	3123	the construction supervisor	singular	neutral	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1209	He is a power production plant operator and he aspires to	3131	the power production plant operator	singular	male	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1210	She is a power production plant operator and she aspires to	3131	the power production plant operator	singular	female	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1211	They are a power production plant operator and they aspire to	3131	the power production plant operator	singular	neutral	innate	[expressing pronoun][personal] to be/to aspire to-indicative-present-affirmative
1212	He is a power production plant operator and he is	3131	the power production plant operator	singular	male	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1213	She is a power production plant operator and she is	3131	the power production plant operator	singular	female	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1214	They are a power production plant operator and they are	3131	the power production plant operator	singular	neutral	innate	[expressing pronoun][personal] to be/to be-indicative-present-affirmative
1215	He works as a power production plant operator. He is considered	3131	the power production plant operator	singular	male	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
1216	She works as a power production plant operator. She is considered	3131	the power production plant operator	singular	female	innate	[expressing pronoun][personal] to work as/to be considered-indicative-present-affirmative
